"group";"sex";"nationality";"age";"house_size";"A";"single";"married";"separated";"widowed";"divorced";"edu0";"edu1";"edu2";"edu3";"y";"p_score"
12;1;1;73;2;1;0;1;0;0;0;0;0;1;0;10,0085680289866;0,99347272860175
12;0;1;59;2;0;0;0;0;1;0;0;1;0;0;10,2870023956042;0,653538771606335
12;0;1;69;3;1;0;0;0;0;1;0;1;0;0;9,22084060704985;0,865624700021811
12;1;1;49;3;1;0;1;0;0;0;0;0;1;0;10,3756139271628;0,957481571950759
12;0;1;81;1;0;0;0;0;1;0;1;0;0;0;9,87950218978562;0,595999027409185
12;1;1;49;1;1;0;1;0;0;0;0;0;1;0;8,98657162526805;0,948891971854275
12;0;0;36;2;0;0;0;0;0;1;0;1;0;0;8,96639869798215;0,693364811220656
12;1;1;48;3;1;0;1;0;0;0;0;1;0;0;9,73431253328047;0,918436092347161
12;1;1;46;4;1;0;1;0;0;0;0;0;1;0;9,10647632061248;0,956187528266674
12;0;1;56;2;1;1;0;0;0;0;0;0;1;0;9,61099392308713;0,872046844048657
12;1;1;55;3;1;0;1;0;0;0;0;0;1;0;9,92475968781167;0,967406373587456
12;1;1;74;2;1;1;0;0;0;0;0;1;0;0;9,42356825877234;0,977518524887231
12;1;1;75;3;1;0;1;0;0;0;0;1;0;0;9,68461611274459;0,991768315012973
12;1;1;56;2;1;0;1;0;0;0;0;0;1;0;10,288795303659;0,952454233115743
12;1;1;33;1;1;1;0;0;0;0;0;0;0;1;10,2437739346193;0,763429892995199
12;0;1;42;1;1;1;0;0;0;0;0;0;0;1;10,964242198648;0,914879327875379
12;1;1;33;2;1;1;0;0;0;0;0;0;1;0;9,9227671671046;0,889149496028758
12;1;1;46;1;1;0;0;0;0;1;0;1;0;0;10,0454210484248;0,91832859601268
12;1;1;46;5;1;0;1;0;0;0;0;1;0;0;9,13826878650203;0,866073319310405
12;0;1;56;2;1;0;0;1;0;0;0;1;0;0;9,38859812686777;0,817684129439168
12;0;1;71;1;1;0;0;0;1;0;0;1;0;0;9,90448705286921;0,754095365684578
12;0;1;48;1;1;1;0;0;0;0;0;0;0;1;9,97734192110661;0,948200055674218
12;0;0;52;1;1;1;0;0;0;0;0;0;1;0;9,80211905814784;0,891742309303042
12;1;1;40;2;1;0;1;0;0;0;0;0;1;0;10,0607476787347;0,94251016507272
12;1;1;52;4;1;0;1;0;0;0;0;0;1;0;10,2000153856319;0,91706828351734
12;1;1;44;2;1;1;0;0;0;0;0;0;0;1;10,36933673055;0,877889953070921
12;0;1;56;4;1;0;1;0;0;0;0;0;1;0;10,2171443421601;0,906037492644458
12;1;1;52;5;1;0;1;0;0;0;0;1;0;0;9,16186265895881;0,870681081214616
12;1;1;31;3;1;0;1;0;0;0;0;1;0;0;9,66272440632564;0,728170823677497
12;1;1;38;2;1;0;0;0;1;0;0;1;0;0;8,36404201192206;0,808174056567645
12;0;1;52;1;1;1;0;0;0;0;0;0;1;0;9,78897416574737;0,941229072955502
12;1;1;70;2;1;0;1;0;0;0;0;0;1;0;9,96411217435256;0,993932464865101
12;1;1;41;6;1;0;1;0;0;0;0;0;0;1;9,74598868143365;0,949543704504354
12;1;1;37;3;1;0;1;0;0;0;0;0;1;0;9,89214569818306;0,964752271916658
12;0;1;76;2;1;0;0;1;0;0;0;0;1;0;9,97466026850149;0,924119006633284
12;0;1;51;3;1;0;1;0;0;0;0;0;0;1;10,1960079016282;0,961683512643407
12;1;1;74;3;1;0;1;0;0;0;0;0;1;0;10,0698067518526;0,992730041736915
12;1;1;66;2;1;0;1;0;0;0;0;0;1;0;10,1884158366659;0,991122412687142
12;1;0;30;5;0;0;1;0;0;0;0;0;1;0;9,22682868948099;0,764465868729187
12;1;1;46;4;1;0;1;0;0;0;0;1;0;0;9,42195100774643;0,789740567779009
12;1;1;68;2;1;0;1;0;0;0;0;1;0;0;10,5976675328248;0,921788832430172
12;1;1;71;3;1;0;1;0;0;0;0;1;0;0;9,62572280709256;0,990022480702047
12;1;0;63;3;1;0;1;0;0;0;0;1;0;0;8,96277604612029;0,978557487980927
12;1;0;41;4;1;0;1;0;0;0;0;0;0;1;9,38920357471825;0,915865208358539
12;1;1;48;5;1;0;1;0;0;0;0;0;1;0;8,62811513677529;0,92215566746314
12;1;1;40;3;1;1;0;0;0;0;0;0;1;0;10,0999904841055;0,92760452741611
12;0;1;46;3;1;0;1;0;0;0;0;0;1;0;9,84803356762571;0,96416148429899
12;1;1;50;2;1;0;1;0;0;0;0;1;0;0;9,29075224196247;0,831330028432043
12;1;1;37;3;1;0;1;0;0;0;0;0;1;0;9,22336627632154;0,964752271916658
12;0;1;71;2;1;0;0;0;1;0;0;1;0;0;9,64406894535721;0,847631633331636
12;1;1;72;2;1;0;1;0;0;0;0;0;1;0;10,5645246791778;0,994087359001506
12;1;1;72;5;1;0;1;0;0;0;0;1;0;0;9,08068716374931;0,986943069032864
12;1;1;49;2;1;0;1;0;0;0;0;1;0;0;9,37478078728714;0,871482535311956
12;0;1;73;4;1;0;0;0;1;0;0;1;0;0;9,17645261330883;0,852511117994135
12;1;1;36;2;1;0;1;0;0;0;0;0;0;1;10,0448134886266;0,958190470126066
12;1;0;41;1;0;1;0;0;0;0;0;0;1;0;8,91623773172148;0,722291272169441
12;1;1;66;2;1;0;1;0;0;0;0;1;0;0;8,87038206607014;0,921157395861877
12;1;1;63;4;1;0;1;0;0;0;0;0;1;0;10,2823896332516;0,985097435989432
12;1;1;50;4;1;0;1;0;0;0;0;1;0;0;9,09272732187144;0,792758977880454
12;1;1;63;3;1;0;1;0;0;0;0;1;0;0;9,52284919436298;0,986233622824173
12;1;1;54;4;1;0;1;0;0;0;0;1;0;0;8,27924052444832;0,768280927859083
12;1;1;45;4;1;0;1;0;0;0;0;1;0;0;9,81761837989178;0,795984945859137
12;0;1;43;3;1;0;1;0;0;0;0;1;0;0;10,1857801275778;0,789913464151738
12;0;1;54;1;1;0;0;0;0;1;0;0;0;1;9,96477078095303;0,940235249325047
12;0;1;65;2;1;0;1;0;0;0;0;0;1;0;10,4405460653745;0,886591182623307
12;1;1;52;5;1;0;1;0;0;0;0;1;0;0;9,84674711833052;0,870681081214616
12;1;1;72;1;1;1;0;0;0;0;0;1;0;0;9,81623978397185;0,958045294519993
12;1;1;81;2;1;0;1;0;0;0;0;0;1;0;9,24203281870867;0,984021693788961
12;1;1;60;1;1;1;0;0;0;0;0;1;0;0;9,70375530548238;0,926475340484729
12;1;0;27;1;1;0;0;0;0;1;0;1;0;0;9,66573784883256;0,635717545897183
12;1;1;66;2;1;0;1;0;0;0;0;1;0;0;9,84734039191313;0,921157395861877
12;1;1;45;3;1;0;1;0;0;0;0;0;1;0;9,50710606316101;0,972364908152079
12;1;1;69;2;1;0;1;0;0;0;0;0;0;1;11,4467785398976;0,978194643609027
12;1;1;57;2;1;0;1;0;0;0;0;0;1;0;9,8725127482367;0,971158013455377
12;1;1;46;1;1;0;0;0;0;1;0;0;1;0;9,0259366489779;0,965965256664121
12;1;1;42;4;1;0;1;0;0;0;0;0;1;0;9,42541334843638;0,906792660878688
12;0;1;74;1;1;0;0;0;1;0;0;1;0;0;8,88903257187474;0,729280437489548
12;1;1;42;5;1;0;1;0;0;0;0;1;0;0;7,9968782417413;0,874312575085542
12;1;0;48;5;0;0;1;0;0;0;0;0;1;0;9,38252140113904;0,808216130849147
12;1;1;38;4;1;0;1;0;0;0;0;0;0;1;10,5344806684812;0,939680961829895
12;0;1;61;3;1;0;0;1;0;0;0;1;0;0;9,36620387009234;0,836296136030562
12;0;1;42;1;1;1;0;0;0;0;0;1;0;0;9,9875069580397;0,816070875255057
12;0;1;70;3;1;0;0;0;1;0;0;1;0;0;8,6741969402259;0,83802202381518
12;1;1;66;2;1;0;1;0;0;0;0;0;1;0;9,88127602634132;0,991122412687142
12;0;1;80;1;1;0;0;0;1;0;0;0;1;0;10,286229773537;0,856749896504568
12;1;1;65;2;1;0;1;0;0;0;0;1;0;0;10,1075977806998;0,941169966748296
12;1;1;33;4;1;0;1;0;0;0;0;1;0;0;9,48276376335853;0,796286337449356
12;1;1;79;3;1;0;1;0;0;0;0;0;0;1;10,3648130101409;0,913192096197411
12;1;1;58;4;1;0;1;0;0;0;0;0;1;0;10,3419528400505;0,854859024985266
12;1;1;46;2;1;1;0;0;0;0;0;0;1;0;10,2194168880475;0,943282263169592
12;1;1;81;2;1;0;1;0;0;0;0;1;0;0;9,9511977685333;0,98206648359643
12;1;1;73;2;1;0;1;0;0;0;0;1;0;0;9,83127521860135;0,902279483179612
12;0;1;79;2;1;0;0;0;1;0;0;1;0;0;9,95107063943321;0,808244462056923
12;1;1;65;3;0;0;1;0;0;0;0;1;0;0;9,18824812550137;0,876090121795076
12;1;1;45;3;1;0;1;0;0;0;0;1;0;0;9,53834831589953;0,890070960518656
12;0;1;66;1;1;0;0;0;0;1;0;0;1;0;10,0431625346086;0,994764703065097
12;1;1;37;4;1;0;1;0;0;0;0;1;0;0;9,23294020403309;0,859300828342853
12;1;1;72;2;1;0;1;0;0;0;0;1;0;0;9,31391930125104;0,981206253624822
12;1;1;61;3;1;0;1;0;0;0;0;0;0;1;9,67438880418324;0,974914547776685
12;1;1;81;2;1;0;1;0;0;0;0;1;0;0;9,4834162920386;0,98206648359643
12;0;1;37;2;1;0;0;1;0;0;0;0;0;1;9,63475304126207;0,820737586876684
12;1;1;69;3;1;0;1;0;0;0;0;1;0;0;9,91190205113715;0,929755338862067
12;1;1;70;3;1;0;1;0;0;0;0;0;1;0;10,1018464870277;0,99299483518749
12;0;1;38;3;1;0;0;1;0;0;0;0;1;0;11,0454608319838;0,762263368289213
12;1;1;59;4;1;0;1;0;0;0;0;0;1;0;10,1499725601376;0,987131131595262
12;0;1;55;5;1;0;0;0;1;0;0;1;0;0;9,91143664412634;0,786183720585521
12;1;1;36;1;1;1;0;0;0;0;0;0;0;1;10,726324380659;0,778773576829289
12;1;1;38;3;1;0;1;0;0;0;0;0;0;1;10,0517159686127;0,901957697967823
12;1;1;75;2;1;0;1;0;0;0;0;1;0;0;10,0035440267528;0,975322034660369
12;1;1;38;4;1;0;1;0;0;0;0;0;1;0;9,99994426118863;0,925207133950564
12;1;1;57;3;1;0;1;0;0;0;0;0;1;0;9,64410134923919;0,985255789256966
12;1;1;64;3;1;0;1;0;0;0;0;0;1;0;10,1933734447921;0,95015986964916
12;0;1;26;2;1;1;0;0;0;0;0;0;1;0;9,96451993450121;0,617816975908093
12;1;1;55;4;1;0;1;0;0;0;0;0;1;0;10,072504325251;0,957960477708696
12;1;0;68;2;1;0;1;0;0;0;0;0;1;0;8,96016814831686;0,980260951020181
12;0;1;52;3;1;0;1;0;0;0;0;0;0;1;10,5145159134594;0,960905352053997
12;0;1;58;2;1;0;0;0;1;0;0;0;1;0;9,04522985191258;0,947672663222284
12;1;1;50;5;1;0;1;0;0;0;0;1;0;0;8,36304251165565;0,837760123820202
12;1;1;69;1;1;1;0;0;0;0;0;1;0;0;9,88328484521861;0,939496377468511
12;1;1;71;2;1;0;1;0;0;0;0;0;1;0;10,074326772221;0,994129277297038
12;1;1;33;2;1;0;1;0;0;0;0;0;1;0;9,08643865534935;0,899394685666177
12;0;1;39;2;1;1;0;0;0;0;0;0;1;0;10,0792878923398;0,865634164475494
12;1;1;39;3;0;0;1;0;0;0;0;0;0;1;9,57111799918868;0,825622950586454
12;0;1;41;4;1;0;1;0;0;0;0;0;1;0;9,52149480061311;0,880118285123902
12;0;1;58;1;1;1;0;0;0;0;0;0;1;0;9,40063009841931;0,978654527686639
12;0;1;77;1;0;0;0;0;1;0;0;1;0;0;9,50762618057066;0,806771523096045
12;1;1;67;2;1;0;1;0;0;0;0;1;0;0;9,65057184310288;0,981329050379489
13;1;1;43;3;1;0;1;0;0;0;0;0;0;1;10,6115507124567;0,915463657650728
13;1;1;69;2;1;0;1;0;0;0;0;1;0;0;10,0059538840806;0,861203743161135
13;1;1;73;3;1;0;1;0;0;0;0;1;0;0;9,95887495461569;0,987370334074588
13;0;1;81;1;1;0;0;0;1;0;0;0;1;0;10,4335862516457;0,886950619846331
13;0;1;45;3;1;0;0;0;1;0;0;1;0;0;9,17336513585129;0,76738534758871
13;1;1;43;3;1;0;1;0;0;0;0;1;0;0;9,83844520103068;0,824828893653582
13;1;1;74;5;1;0;1;0;0;0;0;0;1;0;10,2821408596011;0,993020309245919
13;1;1;67;2;0;0;1;0;0;0;0;0;1;0;8,52912176228151;0,970201993710539
13;1;1;80;2;1;0;1;0;0;0;0;0;1;0;10,5506606002734;0,985702925480317
13;1;1;48;2;1;0;1;0;0;0;0;1;0;0;10,0054723768035;0,909789757892443
13;1;1;34;4;1;0;1;0;0;0;0;0;0;1;9,87694799749712;0,922720360771897
13;1;1;81;1;1;0;0;0;1;0;0;1;0;0;9,93144312854946;0,938561117750752
13;0;1;67;2;0;0;0;0;1;0;0;0;0;1;9,67184969339632;0,864977314037729
13;1;1;32;2;1;1;0;0;0;0;0;0;0;1;10,2100895098404;0,798411934026741
13;1;1;68;3;1;0;1;0;0;0;0;1;0;0;9,56874881254107;0,941803786321717
13;0;1;31;2;1;1;0;0;0;0;0;0;1;0;9,96849471368856;0,774607032365924
13;0;1;67;1;0;0;0;0;0;1;0;1;0;0;8,70896990698095;0,877675298680322
13;0;1;76;1;1;1;0;0;0;0;0;0;1;0;9,882876598632;0,958423898099121
13;0;1;58;3;1;0;1;0;0;0;0;0;1;0;10,6737925141369;0,955538162080989
13;1;1;48;4;1;0;1;0;0;0;0;0;1;0;10,0912940395607;0,979532334560233
13;0;1;42;2;1;0;0;0;0;1;0;0;1;0;9,92102517301249;0,852368941653115
13;0;1;81;1;1;0;0;0;1;0;0;1;0;0;9,87898992093573;0,885524662298616
13;0;1;81;1;0;0;0;0;1;0;1;0;0;0;9,23004495525052;0,595999027409185
13;0;1;38;3;1;0;0;0;0;1;0;0;1;0;9,10692241277769;0,871500953187064
13;0;1;58;2;0;0;0;0;1;0;0;1;0;0;8,35999342347408;0,631609450846561
13;1;1;81;2;1;0;1;0;0;0;0;0;1;0;10,4387520981791;0,984021693788961
13;1;1;32;1;1;1;0;0;0;0;0;0;1;0;10,103403417731;0,752142470605774
13;0;1;60;2;1;0;0;0;0;1;0;0;1;0;9,61063658902047;0,951622770860694
13;1;1;66;2;1;0;1;0;0;0;0;1;0;0;9,87182487219932;0,921157395861877
13;0;1;81;1;1;0;0;0;1;0;0;1;0;0;9,47508641314491;0,885524662298616
13;1;0;33;4;1;0;1;0;0;0;0;0;1;0;9,99104044954399;0,873496258854504
13;0;1;65;2;0;0;1;0;0;0;0;0;1;0;10,5105683639004;0,886591182623307
13;1;1;34;1;0;1;0;0;0;0;0;0;0;1;9,98225252117178;0,760546261439276
13;0;1;80;2;1;0;0;0;1;0;0;0;1;0;10,0271790247314;0,904985492136683
13;1;1;77;4;1;0;1;0;0;0;0;1;0;0;9,37852919719308;0,991568353116067
13;1;1;68;2;1;0;1;0;0;0;1;0;0;0;9,41713771541644;0,922592718637225
13;1;1;66;2;1;0;1;0;0;0;0;1;0;0;10,639231152473;0,921157395861877
13;1;1;81;2;1;0;1;0;0;0;0;1;0;0;9,59795827326679;0,98206648359643
13;1;1;40;4;1;0;1;0;0;0;0;1;0;0;9,15049805279998;0,86751902107001
13;1;1;76;1;1;0;0;0;1;0;0;0;0;1;10,7762442823866;0,944431411223743
13;0;1;71;1;1;0;0;0;1;0;0;0;1;0;9,81923600008854;0,960495250194386
13;1;1;58;4;1;0;1;0;0;0;1;0;0;0;9,46687227663567;0,866118193135453
13;0;0;49;2;0;0;0;1;0;0;0;0;0;1;9,04349838599123;0,796178300936849
13;1;1;58;1;1;0;0;0;1;0;0;1;0;0;9,30864606076031;0,855335836469155
13;1;1;33;3;1;0;1;0;0;0;0;0;1;0;9,65634298998269;0,895081657405616
13;1;1;65;2;1;0;1;0;0;0;0;1;0;0;10,1418480695239;0,941169966748296
13;1;1;77;2;1;0;1;0;0;0;0;1;0;0;9,44851702426144;0,953719519466408
13;1;1;81;2;1;0;1;0;0;0;0;1;0;0;9,97046060763329;0,98206648359643
13;0;1;41;3;1;0;1;0;0;0;0;1;0;0;9,64114828775614;0,806559046720099
13;1;1;67;2;1;0;1;0;0;0;0;0;1;0;10,3008532823876;0,970201993710539
13;1;1;51;4;1;0;1;0;0;0;0;1;0;0;9,36443390731358;0,78815338307668
13;1;1;67;3;1;0;1;0;0;0;0;1;0;0;9,6004210780406;0,95296978027416
13;0;1;42;4;0;0;0;1;0;0;0;1;0;0;9,02872256749047;0,739712239819075
13;1;1;76;3;1;0;1;0;0;0;0;0;1;0;9,96168570343989;0,992242598666688
13;1;1;67;2;1;0;1;0;0;0;0;0;1;0;10,3080188914842;0,970201993710539
13;0;1;56;1;1;0;0;0;1;0;0;0;1;0;10,2441296546003;0,971762030000331
13;1;1;48;3;1;0;1;0;0;0;0;1;0;0;10,0313749225881;0,918436092347161
13;1;0;33;3;1;1;0;0;0;0;0;0;1;0;10,0536063053445;0,88868022015846
13;0;1;48;2;1;0;0;0;1;0;0;1;0;0;9,76514460291438;0,732304078232642
13;1;1;64;2;1;0;1;0;0;0;0;0;0;1;10,4644167632684;0,982280943589452
13;1;1;32;1;1;1;0;0;0;0;0;1;0;0;9,21761385594268;0,784089118891501
14;0;1;69;1;0;1;0;0;0;0;0;1;0;0;9,02328764080633;0,821256636115197
14;1;1;51;4;1;0;1;0;0;0;0;0;1;0;9,36247759759282;0,915695796709788
14;1;1;81;1;1;0;0;0;1;0;0;0;1;0;10,329571947847;0,98620190359004
14;1;1;53;3;1;0;1;0;0;0;0;1;0;0;9,22562299550734;0,81988145626944
14;0;1;47;3;1;0;0;0;1;0;0;0;0;1;9,81164634887055;0,901054951739008
14;0;1;55;1;1;1;0;0;0;0;0;0;1;0;10,1993981774012;0,96695343072866
14;0;1;57;1;1;1;0;0;0;0;0;0;1;0;10,1337655927509;0,972566661268822
14;0;1;59;2;1;0;1;0;0;0;0;1;0;0;9,32960379309886;0,8040365846505
14;0;1;70;1;1;0;0;0;1;0;0;0;1;0;10,3790693448615;0,969147290143171
14;1;1;79;2;1;0;1;0;0;0;0;1;0;0;9,71751935482198;0,979646684336942
14;0;1;77;1;1;0;0;0;1;0;1;0;0;0;9,91368537751257;0,622789151797793
14;1;1;45;5;1;1;0;0;0;0;0;0;0;1;10,0492099568818;0,903949554622468
14;1;1;45;4;1;0;1;0;0;0;0;1;0;0;9,74530096136418;0,795984945859137
14;1;1;62;1;1;0;0;0;0;1;0;0;1;0;8,01928379291679;0,985153451747717
15;1;1;61;2;1;0;1;0;0;0;0;0;1;0;10,0701877284271;0,98840670660089
15;0;1;49;3;0;0;1;0;0;0;0;1;0;0;9,3437780102059;0,733490669929068
15;0;1;51;2;1;0;0;0;0;1;0;0;1;0;10,121765954983;0,974241214899422
15;1;1;60;2;1;0;1;0;0;0;0;1;0;0;10,3800322423252;0,853061659132756
15;0;1;77;4;1;0;0;0;1;0;0;1;0;0;9,83589370196288;0,829906597094696
15;1;1;48;4;1;0;1;0;0;0;0;0;1;0;10,4774489284254;0,979532334560233
15;1;1;38;3;1;0;1;0;0;0;0;1;0;0;10,1727934797398;0,869917191672076
15;1;1;48;3;1;0;1;0;0;0;0;0;1;0;9,77135201040173;0,979679497311922
15;1;1;49;5;1;0;1;0;0;0;0;0;0;1;9,81447417305801;0,95580882471898
15;1;1;60;2;1;0;1;0;0;0;0;1;0;0;9,76579513369411;0,853061659132756
15;1;1;36;4;0;0;1;0;0;0;0;1;0;0;9,27617269859886;0,866471652900259
15;1;0;36;1;0;0;1;0;0;0;0;0;1;0;10,0411603576612;0,766893531829925
15;1;0;45;1;1;0;1;0;0;0;0;0;0;1;9,77417581605579;0,895889603605501
15;1;1;77;3;1;0;1;0;0;0;0;1;0;0;9,02376980089281;0,987025601911718
15;0;1;54;2;1;0;0;1;0;0;0;1;0;0;9,49195406927788;0,799104354228917
15;0;1;75;1;0;0;0;0;1;0;0;1;0;0;9,00883599576545;0,843579362350261
15;1;1;51;3;1;0;0;0;0;1;0;0;1;0;10,2865176827112;0,953233044377651
15;0;1;29;1;0;1;0;0;0;0;0;0;0;1;9,56057461908493;0,566172354144251
15;1;1;34;1;1;0;0;1;0;0;0;0;1;0;9,98511362141607;0,795800705375782
15;1;1;60;4;1;0;1;0;0;0;0;1;0;0;9,60259865259706;0,93599697015341
15;1;1;50;5;1;0;1;0;0;0;0;0;1;0;9,68965468880932;0,934470366173909
15;1;1;53;5;1;0;1;0;0;0;0;1;0;0;9,54457200531957;0,894510794296668
15;0;1;54;2;0;0;1;0;0;0;0;0;1;0;8,63052187672324;0,828088687488259
15;0;1;64;1;1;0;0;0;1;0;0;0;1;0;10,0233572983865;0,981246835594857
15;1;1;59;2;0;0;0;0;0;1;1;0;0;0;9,98432994038023;0,883854105567222
15;1;1;55;3;1;0;1;0;0;0;0;0;1;0;9,81142708668691;0,967406373587456
15;1;1;48;3;0;0;1;0;0;0;0;1;0;0;9,27392531360129;0,918436092347161
15;0;1;81;1;1;0;0;0;1;0;0;1;0;0;8,9690328500343;0,885524662298616
15;1;1;77;2;1;0;1;0;0;0;0;1;0;0;9,90880671417951;0,953719519466408
15;0;1;70;5;1;0;0;0;1;0;0;1;0;0;9,43422650430885;0,869432743586465
15;1;1;29;3;0;0;1;0;0;0;0;1;0;0;7,01311579453996;0,628263877506357
15;1;1;74;2;1;0;1;0;0;0;0;1;0;0;9,58681140701326;0,985501597354139
15;1;1;57;4;1;0;1;0;0;0;0;0;0;1;10,3408905077358;0,918430325093497
15;1;1;56;1;1;1;0;0;0;0;0;0;1;0;9,74443320268052;0,905307644044612
15;1;1;61;4;1;0;1;0;0;0;0;0;0;1;10,1356463441773;0,93323487153031
15;1;1;69;1;1;1;0;0;0;0;0;1;0;0;9,58582725656466;0,939496377468511
15;1;1;60;2;1;0;1;0;0;0;0;0;1;0;8,41803561988302;0,991740396566746
15;0;1;58;3;1;0;0;0;1;0;0;0;1;0;9,67570827281739;0,963145963024141
15;1;1;40;2;1;0;1;0;0;0;0;0;1;0;10,4150728877483;0,94251016507272
15;1;1;79;1;0;0;0;0;1;0;1;0;0;0;8,86403999703599;0,860667229352434
15;1;1;81;2;1;0;1;0;0;0;0;1;0;0;9,80536007472204;0,98206648359643
15;0;1;45;2;1;0;0;0;0;1;0;0;1;0;9,77322699517878;0,907764227645522
15;0;1;48;5;0;0;1;0;0;0;0;1;0;0;9,67045148119767;0,74785924961803
15;1;1;77;2;1;0;1;0;0;0;0;1;0;0;8,76060984757;0,953719519466408
15;0;1;37;2;1;1;0;0;0;0;0;0;1;0;9,52085967808637;0,871032586888881
15;1;1;66;2;1;0;1;0;0;0;0;1;0;0;9,60768369886152;0,921157395861877
15;0;1;79;1;1;0;0;0;1;0;0;0;1;0;9,49694686620103;0,897968285258922
15;1;1;55;3;1;0;1;0;0;0;0;0;1;0;10,0075096729425;0,967406373587456
15;0;1;66;1;1;0;0;0;0;1;0;0;1;0;10,297992820408;0,994764703065097
15;1;1;72;2;1;0;1;0;0;0;0;0;1;0;9,56324822934567;0,994087359001506
15;1;1;66;2;1;0;1;0;0;0;0;1;0;0;9,71446358448115;0,921157395861877
15;0;1;81;1;1;0;0;0;1;0;0;1;0;0;9,96382978154229;0,885524662298616
15;1;1;48;3;1;0;1;0;0;0;0;0;1;0;10,1305788568094;0,979679497311922
15;1;1;53;4;1;0;1;0;0;0;0;0;1;0;9,98163548949562;0,829868308130068
15;0;1;40;2;1;0;1;0;0;0;0;0;1;0;10,0624551836318;0,878870406488432
15;1;1;58;1;1;0;0;0;1;0;0;0;0;1;10,9067629943777;0,93807709696009
15;0;1;32;1;1;1;0;0;0;0;0;0;1;0;9,5566214867309;0,747823223224446
15;0;1;81;1;1;0;0;0;1;0;0;0;1;0;10,1451387754061;0,886950619846331
15;1;1;48;1;1;1;0;0;0;0;0;0;0;1;9,41832967551871;0,902408592106893
15;1;1;64;2;1;0;1;0;0;0;0;1;0;0;10,044205559475;0,932906886029832
15;1;1;64;1;1;1;0;0;0;0;0;1;0;0;8,06085575293432;0,921049806375877
15;1;1;60;3;1;0;1;0;0;0;0;0;1;0;10,398778129915;0,993910379808736
15;0;1;45;1;1;0;1;0;0;0;0;0;1;0;10,1001228439695;0,904443975164028
15;0;1;71;1;1;0;0;1;0;0;0;0;0;1;9,75260652157649;0,909700676496206
15;0;1;63;3;1;0;0;0;1;0;0;1;0;0;9,12369256525051;0,819472617347729
15;0;1;48;3;1;0;1;0;0;0;0;0;1;0;10,8506738411468;0,961084056635363
15;1;1;80;2;1;0;1;0;0;0;0;0;1;0;9,53203732325688;0,985702925480317
15;0;1;64;1;1;0;0;0;0;1;0;0;1;0;9,41344446795267;0,993840744347535
15;1;1;52;3;1;0;1;0;0;0;0;0;1;0;10,0881397246684;0,939609712871817
15;0;1;59;1;1;1;0;0;0;0;0;0;0;1;9,62158872484008;0,901480219411926
15;1;1;34;3;1;1;0;0;0;0;0;0;1;0;9,63379091611166;0,891287691284764
15;0;1;71;2;1;0;0;0;0;1;0;0;0;1;10,4601274884414;0,923080807627029
15;0;1;81;2;0;0;0;0;1;0;0;1;0;0;9,20960676965579;0,751666565303231
15;0;1;81;1;1;0;0;0;1;0;0;1;0;0;9,13162178726478;0,885524662298616
15;1;1;79;2;1;0;1;0;0;0;0;1;0;0;9,91485601943807;0,979646684336942
15;1;1;74;2;1;0;1;0;0;0;0;1;0;0;9,79868243817;0,985501597354139
15;1;1;47;4;1;0;1;0;0;0;0;1;0;0;9,27413133094627;0,81503150161235
15;0;1;62;2;1;0;0;0;0;1;0;1;0;0;10,2512058385497;0,892684981536198
